, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.0,0.98,1,0.0,1.1,1.82,0.0,0.07,0.0,0.0,1.17,0.8,0.23,0.25,1.91,0.0,0.0,0.0,1.17,0.0
1,0,0.042,0.98,1,0.0,0.37,1.29,0.0,0.02,0.0,0.06,0.88,0.75,0.08,0.08,2.54,0.0,0.0,0.0,1.02,0.0
2,0,0.084,0.88,1,0.0,0.0,0.69,0.27,0.03,0.0,0.21,0.63,0.82,0.0,0.0,2.46,0.0,0.0,0.01,0.75,0.0
3,0,0.125,0.88,1,0.0,0.0,0.27,0.82,0.1,0.0,0.27,0.41,0.94,0.0,0.0,1.86,0.0,0.0,0.21,0.67,0.0
4,0,0.16699999999999998,0.82,1,0.05,0.0,0.0,0.82,0.1,0.0,0.21,0.2,1.15,0.0,0.0,1.35,0.0,0.0,0.46,0.65,0.08
5,0,0.209,0.88,1,0.34,0.17,0.12,0.55,0.07,0.0,0.06,0.42,1.24,0.0,0.33,1.45,0.0,0.0,0.45,0.76,0.29
6,0,0.251,0.93,1,0.44,0.36,0.49,0.0,0.0,0.0,0.0,0.72,1.17,0.15,0.74,1.77,0.0,0.0,0.24,0.93,0.35
7,0,0.293,0.93,1,0.39,0.36,0.77,0.11,0.01,0.0,0.0,0.67,1.04,0.15,0.89,1.65,0.0,0.21,0.0,0.68,0.27
8,0,0.33399999999999996,0.88,1,0.1,0.19,0.99,0.89,0.18,0.0,0.0,0.44,1.08,0.35,0.71,1.44,0.0,0.63,0.26,0.59,0.06
9,0,0.376,0.82,1,0.0,0.0,0.95,1.25,0.37,0.25,0.0,0.13,1.24,0.22,0.3,1.2,0.0,1.11,0.26,0.45,0.0
10,0,0.418,0.88,1,0.07,0.0,0.98,1.42,0.37,0.37,0.0,0.13,1.32,0.22,0.15,1.26,0.0,1.19,0.41,0.65,0.0
11,0,0.46,0.88,1,0.07,0.0,1.03,1.03,0.19,0.47,0.0,0.0,1.15,0.02,0.12,1.32,0.0,1.05,0.67,1.08,0.0
12,0,0.501,0.98,1,0.21,0.0,1.29,0.81,0.0,0.22,0.0,0.0,0.86,0.0,0.12,1.57,0.0,0.81,1.22,1.35,0.0
13,0,0.5429999999999999,0.82,1,0.46,0.0,1.53,0.54,0.0,0.35,0.0,0.0,0.82,0.1,0.32,1.6,0.0,0.72,1.07,1.74,0.0
14,0,0.585,0.82,1,0.62,0.0,1.44,0.26,0.0,0.26,0.0,0.0,0.61,0.18,0.2,1.88,0.0,0.64,0.55,2.42,0.0
15,0,0.627,0.98,1,0.62,0.0,1.15,0.29,0.0,0.26,0.0,0.0,0.56,0.28,0.2,2.01,0.0,0.65,0.0,3.15,0.0
16,0,0.669,0.98,1,0.43,0.0,0.88,0.46,0.0,0.0,0.0,0.0,0.35,0.36,0.0,2.33,0.0,0.64,0.0,3.97,0.0
17,0,0.71,0.98,1,0.46,0.05,0.91,0.48,0.0,0.0,0.0,0.0,0.43,0.41,0.04,2.43,0.0,0.64,0.0,3.86,0.0
18,0,0.752,0.98,1,0.47,0.2,0.97,0.38,0.0,0.0,0.0,0.13,0.47,0.31,0.15,2.33,0.0,0.56,0.0,3.33,0.0
19,0,0.794,0.98,1,0.35,0.2,1.03,0.26,0.0,0.0,0.0,0.46,0.6,0.13,0.2,1.9,0.0,0.48,0.0,2.46,0.0
20,0,0.836,0.98,1,0.17,0.14,1.05,0.13,0.0,0.0,0.0,0.8,0.74,0.0,0.16,1.13,0.0,0.4,0.0,1.69,0.0
21,0,0.878,0.88,1,0.01,0.06,1.03,0.06,0.05,0.0,0.0,1.19,0.88,0.17,0.05,0.6,0.0,0.24,0.2,1.2,0.0
22,0,0.919,0.98,1,0.01,0.1,1.06,0.0,0.14,0.0,0.07,1.42,0.98,0.24,0.01,0.36,0.0,0.14,0.47,0.94,0.0
23,0,0.961,0.98,1,0.11,0.2,0.94,0.0,0.14,0.0,0.19,1.68,1.07,0.37,0.01,0.23,0.0,0.01,0.74,0.72,0.4
24,0,1.003,0.93,1,0.14,0.22,0.79,0.0,0.15,0.0,0.33,1.74,1.19,0.35,0.01,0.07,0.1,0.0,0.79,0.54,0.97
25,0,1.045,0.93,1,0.21,0.37,0.7,0.0,0.22,0.0,0.36,1.69,1.32,0.42,0.0,0.0,0.1,0.0,0.77,0.25,1.16
26,0,1.0859999999999999,0.98,1,0.12,0.27,0.64,0.0,0.41,0.0,0.33,1.62,1.41,0.48,0.0,0.0,0.1,0.0,0.69,0.12,0.8
27,0,1.128,0.98,1,0.08,0.19,0.66,0.0,0.52,0.0,0.26,1.57,1.48,0.49,0.0,0.0,0.0,0.0,0.61,0.03,0.23
28,0,1.17,0.98,1,0.01,0.0,0.55,0.0,0.57,0.0,0.19,1.57,1.48,0.58,0.0,0.0,0.0,0.0,0.48,0.03,0.05
29,0,1.212,0.98,1,0.0,0.0,0.54,0.0,0.56,0.0,0.12,1.58,1.51,0.57,0.0,0.0,0.0,0.0,0.44,0.0,0.0
30,0,1.254,0.98,1,0.05,0.0,0.62,0.0,0.6,0.0,0.07,1.61,1.57,0.61,0.0,0.0,0.13,0.0,0.42,0.0,0.0
31,0,1.295,0.98,1,0.06,0.0,0.71,0.0,0.47,0.0,0.04,1.49,1.5,0.44,0.0,0.01,0.17,0.12,0.29,0.0,0.0
32,0,1.337,0.98,1,0.06,0.0,0.84,0.0,0.4,0.0,0.01,1.31,1.45,0.31,0.0,0.02,0.31,0.25,0.15,0.0,0.0
33,0,1.379,0.98,1,0.02,0.0,0.84,0.0,0.33,0.0,0.0,1.27,1.34,0.16,0.0,0.09,0.39,0.33,0.01,0.0,0.0
34,0,1.421,0.98,1,0.0,0.0,0.91,0.0,0.45,0.0,0.0,1.38,1.36,0.16,0.0,0.08,0.47,0.22,0.24,0.0,0.0
35,0,1.463,0.93,1,0.0,0.02,0.95,0.0,0.51,0.0,0.0,1.46,1.37,0.11,0.0,0.06,0.39,0.08,0.42,0.0,0.0
36,0,1.504,0.93,1,0.02,0.04,1.01,0.0,0.58,0.0,0.0,1.48,1.46,0.16,0.0,0.09,0.18,0.0,0.41,0.0,0.0
37,0,1.546,0.93,1,0.07,0.04,0.91,0.0,0.59,0.0,0.0,1.59,1.58,0.18,0.0,0.09,0.06,0.0,0.29,0.0,0.0
38,0,1.588,0.98,1,0.1,0.19,0.84,0.0,0.66,0.0,0.0,1.69,1.64,0.26,0.0,0.09,0.0,0.0,0.32,0.0,0.0
39,0,1.63,0.98,1,0.09,0.17,0.8,0.0,0.71,0.0,0.0,1.81,1.68,0.26,0.0,0.0,0.0,0.0,0.58,0.0,0.02
40,0,1.671,0.98,1,0.03,0.17,0.75,0.0,0.65,0.0,0.03,1.87,1.62,0.31,0.0,0.0,0.0,0.0,0.68,0.0,0.05
